x1,x2,x3,x4,x5
0.6,0.6,0.6,1.2,0.8
0.6,0.6,0.6,1.2,0.8
0.6,0.6,0.6,1.2,0.8
0.6,0.6,0.6,1.2,0.8
0.6,0.6,0.6,1.2,0.8
0.6,0.6,0.6,1.2,0.8
0.6,0.6,0.6,1.2,0.8
0.6,0.6,0.6,1.2,0.8
0.6,0.6,0.6,1.2,0.8
0.6,0.6,0.6,1.2,0.8
0.6,0.6,0.6,1.2,0.8
0.6,0.6,0.6,1.2,0.8
0.6,0.6,0.6,1.2,0.8
0.6,0.6,0.6,1.2,0.8
0.6,0.6,0.6,1.2,0.8
0.6,0.6,0.6,1.2,0.8
0.6,0.6,0.6,1.2,0.8
0.6,0.6,0.6,1.2,0.8
0.6,0.6,0.6,1.2,0.8
0.6,0.6,0.6,1.2,0.8
0.6,0.6,0.6,1.2,0.8
0.6,0.6,0.6,1.2,0.8
0.6,0.6,0.6,1.2,0.8
0.6,0.6,0.6,1.2,0.8
0.6,0.8,1.2,0.6,1.0
0.6,0.8,1.2,0.6,1.0
0.6,0.8,1.2,0.6,1.0
0.6,0.8,1.2,0.6,1.0
0.6,0.8,1.2,0.6,1.0
0.6,0.8,1.2,0.6,1.0
0.6,0.8,1.2,0.6,1.0
0.6,0.8,1.2,0.6,1.0
0.6,0.8,1.2,0.6,1.0
0.6,0.8,1.2,0.6,1.0
0.6,0.8,1.2,0.6,1.0
0.6,0.8,1.2,0.6,1.0
0.6,0.8,1.2,0.6,1.0
0.6,0.8,1.2,0.6,1.0
0.6,0.8,1.2,0.6,1.0
0.6,0.8,1.2,0.6,1.0
0.6,0.8,1.2,0.6,1.0
0.6,0.8,1.2,0.6,1.0
0.6,0.8,1.2,0.6,1.0
0.6,0.8,1.2,0.6,1.0
0.6,0.8,1.2,0.6,1.0
0.6,0.8,1.2,0.6,1.0
0.6,0.8,1.2,0.6,1.0
0.6,0.8,1.2,0.6,1.0
0.6,1.4,1.4,1.0,1.2
0.6,1.4,1.4,1.0,1.2
0.6,1.4,1.4,1.0,1.2
0.6,1.4,1.4,1.0,1.2
0.6,1.4,1.4,1.0,1.2
0.6,1.4,1.4,1.0,1.2
0.6,1.4,1.4,1.0,1.2
0.6,1.4,1.4,1.0,1.2
0.6,1.4,1.4,1.0,1.2
0.6,1.4,1.4,1.0,1.2
0.6,1.4,1.4,1.0,1.2
0.6,1.4,1.4,1.0,1.2
0.6,1.4,1.4,1.0,1.2
0.6,1.4,1.4,1.0,1.2
0.6,1.4,1.4,1.0,1.2
0.6,1.4,1.4,1.0,1.2
0.6,1.4,1.4,1.0,1.2
0.6,1.4,1.4,1.0,1.2
0.6,1.4,1.4,1.0,1.2
0.6,1.4,1.4,1.0,1.2
0.6,1.4,1.4,1.0,1.2
0.6,1.4,1.4,1.0,1.2
0.6,1.4,1.4,1.0,1.2
0.6,1.4,1.4,1.0,1.2
1.2,0.8,1.0,1.2,1.2
1.2,0.8,1.0,1.2,1.2
1.2,0.8,1.0,1.2,1.2
1.2,0.8,1.0,1.2,1.2
1.2,0.8,1.0,1.2,1.2
1.2,0.8,1.0,1.2,1.2
1.2,0.8,1.0,1.2,1.2
1.2,0.8,1.0,1.2,1.2
1.2,0.8,1.0,1.2,1.2
1.2,0.8,1.0,1.2,1.2
1.2,0.8,1.0,1.2,1.2
1.2,0.8,1.0,1.2,1.2
1.2,0.8,1.0,1.2,1.2
1.2,0.8,1.0,1.2,1.2
1.2,0.8,1.0,1.2,1.2
1.2,0.8,1.0,1.2,1.2
1.2,0.8,1.0,1.2,1.2
1.2,0.8,1.0,1.2,1.2
1.2,0.8,1.0,1.2,1.2
1.2,0.8,1.0,1.2,1.2
1.2,0.8,1.0,1.2,1.2
1.2,0.8,1.0,1.2,1.2
1.2,0.8,1.0,1.2,1.2
1.2,0.8,1.0,1.2,1.2
1.2,0.8,1.0,1.2,1.2
1.2,0.8,1.0,1.2,1.2
1.2,0.8,1.0,1.2,1.2
1.2,0.8,1.0,1.2,1.2
1.2,0.8,1.0,1.2,1.2
1.2,0.8,1.0,1.2,1.2
1.2,0.8,1.0,1.2,1.2
