"x1","x2","x3","x4","x5"
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
0.4,0.55,0.7,0.85,1
