Fuel,PMin,Capacity,varOM,VCost,plantUnique,ramprate,StartCost,PLC2ERTA,max_capacity,min_capacity,Speed
BIOMASS,31.1,57.7,8.74225,8.74225,BIOMASS-1,1,0,23.31333333,1000000,0,SLOW
BIOMASS,0.2,10.6,8.74225,8.74225,BIOMASS-3,1,0,6.937,1000000,0,SLOW
BIOMASS,5.5,23.5,8.74225,8.74225,BIOMASS-2,1,0,63.003,1000000,0,SLOW
BIOMASS,70,114,8.74225,8.74225,BIOMASS-4,1,0,0,1000000,0,SLOW
COAL,215,720,4.830925,30.00227584,COAL-1,0.6,46800,2343.595643,1000000,300,SLOW
COAL,800,1849.8,4.830925,27.42777935,COAL-2,0.6,120237,2144.632,1000000,300,SLOW
COAL,670,2379.6,4.830925,30.0476338,COAL-5,0.6,154674,2394.282,1000000,300,SLOW
COAL,740,1980,4.830925,31.49128736,COAL-6,0.6,128700,2447.883,1000000,300,SLOW
COAL,350,622.4,4.830925,28.94632065,COAL-7,0.6,40456,2204.622,1000000,300,SLOW
COAL,500,1690,4.830925,30.94508293,COAL-8,0.6,109850,2386.836,1000000,300,SLOW
COAL,803,1795.4,4.830925,27.85492543,COAL-9,0.6,116701,2185.541,1000000,300,SLOW
COAL,250,410,4.830925,35.00365053,COAL-10,0.6,26650,2862.857,1000000,300,SLOW
COAL,700,2736.8,4.830925,29.81463769,COAL-3,0.6,177892,2218.133,1000000,300,SLOW
COAL,480,661.5,4.830925,27.80622347,COAL-14,0.6,42997.5,2179.886,1000000,300,SLOW
COAL,412,1444,4.830925,29.91738854,COAL-13,0.6,93860,2243.207,1000000,300,SLOW
COAL,310,590.6,4.830925,30.01882881,COAL-11,0.6,38389,2390.82,1000000,300,SLOW
COAL,190,349.2,4.830925,32.0983845,COAL-12,0.6,22698,2587.24,1000000,300,SLOW
COAL,360,1008,4.830925,28.45559216,COAL-15,0.6,65520,2155.722,1000000,300,SLOW
COAL,440,1186.8,4.830925,30.2041265,COAL-4,0.6,77142,2408.678,1000000,300,SLOW
DR,1,1000,NA,30,DR-1,1,0,0,1000000,0,DR
GAS_CC,190,458,2.828375,30.67116284,GAS_CC-52,0.7,30321.5,906.3082653,1000000,0,SLOW
GAS_CC,330,535.5,2.828375,31.29813575,GAS_CC-57,0.7,29452.5,894.051,1000000,0,SLOW
GAS_CC,330,602,2.828375,30.67116284,GAS_CC-47,0.7,37158,906.3082653,1000000,0,SLOW
GAS_CC,460,846,2.828375,30.79242945,GAS_CC-29,0.7,51678,878.129,1000000,0,SLOW
GAS_CC,380,957.3,2.828375,30.31845125,GAS_CC-41,0.7,56980,863.244,1000000,0,SLOW
GAS_CC,8,80,2.828375,74.37081418,GAS_CC-14,0.7,4400,2209.423,1000000,0,SLOW
GAS_CC,230,160,2.828375,33.28666381,GAS_CC-2,0.7,20729.5,956.46,1000000,0,SLOW
GAS_CC,130,230,2.828375,36.23488425,GAS_CC-20,0.7,12650,1049.028,1000000,0,SLOW
GAS_CC,677.3,986,2.828375,33.49035834,GAS_CC-33,0.7,59851,962.749,1000000,0,SLOW
GAS_CC,200,269,2.828375,34.00678617,GAS_CC-22,0.7,15543,979.107,1000000,0,SLOW
GAS_CC,440,670.2,2.828375,30.14852473,GAS_CC-28,0.7,44055,857.919,1000000,0,SLOW
GAS_CC,385,1246,2.828375,31.38409417,GAS_CC-51,0.7,75350,896.737,1000000,0,SLOW
GAS_CC,184,380.7,2.828375,24.26823071,GAS_CC-11,0.7,20938.5,662.121,1000000,0,SLOW
GAS_CC,47,84,2.828375,43.60552284,GAS_CC-4,0.7,4125,1280.468,1000000,0,SLOW
GAS_CC,100,239,2.828375,36.75608221,GAS_CC-12,0.7,14608,1065.409,1000000,0,SLOW
GAS_CC,3.8,14.3,2.828375,35.92413588,GAS_CC-9,0.7,786.5,1031.679,1000000,0,SLOW
GAS_CC,540.9,1176,2.828375,25.35768119,GAS_CC-48,0.7,64680,707.489,1000000,0,SLOW
GAS_CC,200,421.4,2.828375,24.50709354,GAS_CC-17,0.7,24750,680.764,1000000,0,SLOW
GAS_CC,240,458,2.828375,30.67116284,GAS_CC-7,0.7,30250,906.3082653,1000000,0,SLOW
GAS_CC,424,689.4,2.828375,22.34664942,GAS_CC-10,0.7,37917,602.777,1000000,0,SLOW
GAS_CC,478,663.6,2.828375,43.62850754,GAS_CC-3,0.7,36498,1274.404,1000000,0,SLOW
GAS_CC,267,468,2.828375,34.94524724,GAS_CC-56,0.7,31905.5,1008.525,1000000,0,SLOW
GAS_CC,290,785,2.828375,30.75065292,GAS_CC-30,0.7,51711,876.761,1000000,0,SLOW
GAS_CC,385,932.9,2.828375,25.66730951,GAS_CC-46,0.7,51309.5,717.236,1000000,0,SLOW
GAS_CC,300,665,2.828375,30.05513418,GAS_CC-45,0.7,41030,854.989,1000000,0,SLOW
GAS_CC,245.8309857,517,2.828375,23.20125613,GAS_CC-44,0.7,28435,629.17,1000000,0,SLOW
GAS_CC,294.4,643.6,2.828375,23.84520364,GAS_CC-16,0.7,35398,659.97,1000000,0,SLOW
GAS_CC,316,533,2.828375,30.70736119,GAS_CC-35,0.7,34028.5,875.525,1000000,0,SLOW
GAS_CC,430,744.3,2.828375,29.53407786,GAS_CC-36,0.7,44385,838.616,1000000,0,SLOW
GAS_CC,260,432,2.828375,22.52568218,GAS_CC-25,0.7,23760,618.544,1000000,0,SLOW
GAS_CC,219,633,2.828375,32.2436638,GAS_CC-1,0.7,40161,923.679,1000000,0,SLOW
GAS_CC,240,497.9,2.828375,25.65873867,GAS_CC-21,0.7,27384.5,705.063,1000000,0,SLOW
GAS_CC,630,1822,2.828375,29.8050679,GAS_CC-50,0.7,101794,847.156,1000000,0,SLOW
GAS_CC,776,1190,2.828375,30.26978623,GAS_CC-42,0.7,70400,861.731,1000000,0,SLOW
GAS_CC,252,705,2.828375,32.07569383,GAS_CC-31,0.7,43362,918.475,1000000,0,SLOW
GAS_CC,380,328,2.828375,27.53106916,GAS_CC-23,0.7,44825,775.775,1000000,0,SLOW
GAS_CC,330,880,2.828375,30.64425786,GAS_CC-24,0.7,51683.5,873.454,1000000,0,SLOW
GAS_CC,147,388,2.828375,35.69813038,GAS_CC-8,0.7,21340,1032.136,1000000,0,SLOW
GAS_CC,275,528,2.828375,30.05874615,GAS_CC-34,0.7,32725,855.104,1000000,0,SLOW
GAS_CC,245.8309857,168,2.828375,29.35787065,GAS_CC-15,0.7,9240,819.302,1000000,0,SLOW
GAS_CC,560,646,2.828375,24.79184638,GAS_CC-37,0.7,50506.5,689.718,1000000,0,SLOW
GAS_CC,860,1444,2.828375,32.00990267,GAS_CC-26,0.7,95370,916.364,1000000,0,SLOW
GAS_CC,270,312,2.828375,31.34439939,GAS_CC-40,0.7,22990,895.457,1000000,0,SLOW
GAS_CC,600,882,2.828375,31.30623423,GAS_CC-32,0.7,54395,894.28,1000000,0,SLOW
GAS_CC,356,717,2.828375,31.69468124,GAS_CC-59,0.7,44176,906.424,1000000,0,SLOW
GAS_CC,28,153.9,2.828375,32.06114519,GAS_CC-54,0.7,8464.5,902.787,1000000,0,SLOW
