"hour","DR-1"
"h1",0
"h2",0
"h3",0
"h4",0
"h5",0
"h6",0
"h7",0
"h8",1
"h9",1
"h10",1
"h11",1
"h12",1
"h13",1
"h14",1
"h15",1
"h16",1
"h17",1
"h18",1
"h19",1
"h20",1
"h21",1
"h22",1
"h23",1
"h24",0
"h25",0
"h26",0
"h27",0
"h28",0
"h29",0
"h30",0
"h31",0
"h32",1
"h33",1
"h34",1
"h35",1
"h36",1
"h37",1
"h38",1
"h39",1
"h40",1
"h41",1
"h42",1
"h43",1
"h44",1
"h45",1
"h46",1
"h47",1
"h48",0
"h49",0
"h50",0
"h51",0
"h52",0
"h53",0
"h54",0
"h55",0
"h56",1
"h57",1
"h58",1
"h59",1
"h60",1
"h61",1
"h62",1
"h63",1
"h64",1
"h65",1
"h66",1
"h67",1
"h68",1
"h69",1
"h70",1
"h71",1
"h72",0
"h73",0
"h74",0
"h75",0
"h76",0
"h77",0
"h78",0
"h79",0
"h80",1
"h81",1
"h82",1
"h83",1
"h84",1
"h85",1
"h86",1
"h87",1
"h88",1
"h89",1
"h90",1
"h91",1
"h92",1
"h93",1
"h94",1
"h95",1
"h96",0
"h97",0
"h98",0
"h99",0
"h100",0
"h101",0
"h102",0
"h103",0
"h104",1
"h105",1
"h106",1
"h107",1
"h108",1
"h109",1
"h110",1
"h111",1
"h112",1
"h113",1
"h114",1
"h115",1
"h116",1
"h117",1
"h118",1
"h119",1
"h120",0
"h121",0
"h122",0
"h123",0
"h124",0
"h125",0
"h126",0
"h127",0
"h128",1
"h129",1
"h130",1
"h131",1
"h132",1
"h133",1
"h134",1
"h135",1
"h136",1
"h137",1
"h138",1
"h139",1
"h140",1
"h141",1
"h142",1
"h143",1
"h144",0
"h145",0
"h146",0
"h147",0
"h148",0
"h149",0
"h150",0
"h151",0
"h152",1
"h153",1
"h154",1
"h155",1
"h156",1
"h157",1
"h158",1
"h159",1
"h160",1
"h161",1
"h162",1
"h163",1
"h164",1
"h165",1
"h166",1
"h167",1
"h168",0
"h169",0
"h170",0
"h171",0
"h172",0
"h173",0
"h174",0
"h175",0
"h176",1
"h177",1
"h178",1
"h179",1
"h180",1
"h181",1
"h182",1
"h183",1
"h184",1
"h185",1
"h186",1
"h187",1
"h188",1
"h189",1
"h190",1
"h191",1
"h192",0
"h193",0
"h194",0
"h195",0
"h196",0
"h197",0
"h198",0
"h199",0
"h200",1
"h201",1
"h202",1
"h203",1
"h204",1
"h205",1
"h206",1
"h207",1
"h208",1
"h209",1
"h210",1
"h211",1
"h212",1
"h213",1
"h214",1
"h215",1
"h216",0
"h217",0
"h218",0
"h219",0
"h220",0
"h221",0
"h222",0
"h223",0
"h224",1
"h225",1
"h226",1
"h227",1
"h228",1
"h229",1
"h230",1
"h231",1
"h232",1
"h233",1
"h234",1
"h235",1
"h236",1
"h237",1
"h238",1
"h239",1
"h240",0
"h241",0
