hour,DR-1
h1,0
h2,0
h3,0
h4,0
h5,0
h6,0
h7,0
h8,0
h9,0
h10,0
h11,0
h12,0
h13,0
h14,0
h15,0
h16,0
h17,1
h18,1
h19,1
h20,1
h21,1
h22,1
h23,1
h24,0
h25,0
h26,0
h27,0
h28,0
h29,0
h30,0
h31,0
h32,0
h33,0
h34,0
h35,0
h36,0
h37,0
h38,0
h39,0
h40,0
h41,1
h42,1
h43,1
h44,1
h45,1
h46,1
h47,1
h48,0
h49,0
h50,0
h51,0
h52,0
h53,0
h54,0
h55,0
h56,0
h57,0
h58,0
h59,0
h60,0
h61,0
h62,0
h63,0
h64,0
h65,1
h66,1
h67,1
h68,1
h69,1
h70,1
h71,1
h72,0
h73,0
h74,0
h75,0
h76,0
h77,0
h78,0
h79,0
h80,0
h81,0
h82,0
h83,0
h84,0
h85,0
h86,0
h87,0
h88,0
h89,1
h90,1
h91,1
h92,1
h93,1
h94,1
h95,1
h96,0
h97,0
h98,0
h99,0
h100,0
h101,0
h102,0
h103,0
h104,0
h105,0
h106,0
h107,0
h108,0
h109,0
h110,0
h111,0
h112,0
h113,1
h114,1
h115,1
h116,1
h117,1
h118,1
h119,1
h120,0
h121,0
h122,0
h123,0
h124,0
h125,0
h126,0
h127,0
h128,0
h129,0
h130,0
h131,0
h132,0
h133,0
h134,0
h135,0
h136,0
h137,1
h138,1
h139,1
h140,1
h141,1
h142,1
h143,1
h144,0
h145,0
h146,0
h147,0
h148,0
h149,0
h150,0
h151,0
h152,0
h153,0
h154,0
h155,0
h156,0
h157,0
h158,0
h159,0
h160,0
h161,1
h162,1
h163,1
h164,1
h165,1
h166,1
h167,1
h168,0
h169,0
h170,0
h171,0
h172,0
h173,0
h174,0
h175,0
h176,0
h177,0
h178,0
h179,0
h180,0
h181,0
h182,0
h183,0
h184,0
h185,1
h186,1
h187,1
h188,1
h189,1
h190,1
h191,1
h192,0
h193,0
h194,0
h195,0
h196,0
h197,0
h198,0
h199,0
h200,0
h201,0
h202,0
h203,0
h204,0
h205,0
h206,0
h207,0
h208,0
h209,1
h210,1
h211,1
h212,1
h213,1
h214,1
h215,1
h216,0
h217,0
h218,0
h219,0
h220,0
h221,0
h222,0
h223,0
h224,0
h225,0
h226,0
h227,0
h228,0
h229,0
h230,0
h231,0
h232,0
h233,1
h234,1
h235,1
h236,1
h237,1
h238,1
h239,1
h240,0
h241,0
h242,0
h243,0
h244,0
h245,0
h246,0
h247,0
h248,0
h249,0
h250,0
h251,0
h252,0
h253,0
h254,0
h255,0
h256,0
h257,1
h258,1
h259,1
h260,1
h261,1
h262,1
h263,1
h264,0
h265,0
h266,0
h267,0
h268,0
h269,0
h270,0
h271,0
h272,0
h273,0
h274,0
h275,0
h276,0
h277,0
h278,0
h279,0
h280,0
h281,1
h282,1
h283,1
h284,1
h285,1
h286,1
h287,1
h288,0
h289,0
h290,0
