hour,DR-1
h1,0
h2,0
h3,0
h4,0
h5,0
h6,0
h7,0
h8,0
h9,0
h10,1
h11,1
h12,1
h13,1
h14,1
h15,1
h16,1
h17,1
h18,0
h19,0
h20,0
h21,0
h22,0
h23,0
h24,0
h25,0
h26,0
h27,0
h28,0
h29,0
h30,0
h31,0
h32,0
h33,0
h34,1
h35,1
h36,1
h37,1
h38,1
h39,1
h40,1
h41,1
h42,0
h43,0
h44,0
h45,0
h46,0
h47,0
h48,0
h49,0
h50,0
h51,0
h52,0
h53,0
h54,0
h55,0
h56,0
h57,0
h58,1
h59,1
h60,1
h61,1
h62,1
h63,1
h64,1
h65,1
h66,0
h67,0
h68,0
h69,0
h70,0
h71,0
h72,0
h73,0
h74,0
h75,0
h76,0
h77,0
h78,0
h79,0
h80,0
h81,0
h82,1
h83,1
h84,1
h85,1
h86,1
h87,1
h88,1
h89,1
h90,0
h91,0
h92,0
h93,0
h94,0
h95,0
h96,0
h97,0
h98,0
h99,0
h100,0
h101,0
h102,0
h103,0
h104,0
h105,0
h106,1
h107,1
h108,1
h109,1
h110,1
h111,1
h112,1
h113,1
h114,0
h115,0
h116,0
h117,0
h118,0
h119,0
h120,0
h121,0
h122,0
h123,0
h124,0
h125,0
h126,0
h127,0
h128,0
h129,0
h130,1
h131,1
h132,1
h133,1
h134,1
h135,1
h136,1
h137,1
h138,0
h139,0
h140,0
h141,0
h142,0
h143,0
h144,0
h145,0
h146,0
h147,0
h148,0
h149,0
h150,0
h151,0
h152,0
h153,0
h154,1
h155,1
h156,1
h157,1
h158,1
h159,1
h160,1
h161,1
h162,0
h163,0
h164,0
h165,0
h166,0
h167,0
h168,0
h169,0
h170,0
h171,0
h172,0
h173,0
h174,0
h175,0
h176,0
h177,0
h178,1
h179,1
h180,1
h181,1
h182,1
h183,1
h184,1
h185,1
h186,0
h187,0
h188,0
h189,0
h190,0
h191,0
h192,0
h193,0
h194,0
h195,0
h196,0
h197,0
h198,0
h199,0
h200,0
h201,0
h202,1
h203,1
h204,1
h205,1
h206,1
h207,1
h208,1
h209,1
h210,0
h211,0
h212,0
h213,0
h214,0
h215,0
h216,0
h217,0
h218,0
h219,0
h220,0
h221,0
h222,0
h223,0
h224,0
h225,0
h226,1
h227,1
h228,1
h229,1
h230,1
h231,1
h232,1
h233,1
h234,0
h235,0
h236,0
h237,0
h238,0
h239,0
h240,0
h241,0
h242,0
h243,0
h244,0
h245,0
h246,0
h247,0
h248,0
h249,0
h250,1
h251,1
h252,1
h253,1
h254,1
h255,1
h256,1
h257,1
h258,0
h259,0
h260,0
h261,0
h262,0
h263,0
h264,0
h265,0
h266,0
h267,0
h268,0
h269,0
h270,0
h271,0
h272,0
h273,0
h274,1
h275,1
h276,1
h277,1
h278,1
h279,1
h280,1
h281,1
h282,0
h283,0
h284,0
h285,0
h286,0
h287,0
h288,0
h289,0
h290,0
