time_CST,demand
1/1/16 0:00,34680
1/1/16 1:00,33846
1/1/16 2:00,33427
1/1/16 3:00,33086
1/1/16 4:00,33048
1/1/16 5:00,33434
1/1/16 6:00,34386
1/1/16 7:00,35372
1/1/16 8:00,36069
1/1/16 9:00,36823
1/1/16 10:00,38020
1/1/16 11:00,38729
1/1/16 12:00,38845
1/1/16 13:00,38585
1/1/16 14:00,38082
1/1/16 15:00,37592
1/1/16 16:00,37467
1/1/16 17:00,37904
1/1/16 18:00,39840
1/1/16 19:00,41153
1/1/16 20:00,40888
1/1/16 21:00,40513
1/1/16 22:00,39766
1/1/16 23:00,38558
1/2/16 0:00,37000
1/2/16 1:00,35632
1/2/16 2:00,34753
1/2/16 3:00,34197
1/2/16 4:00,33897
1/2/16 5:00,34170
1/2/16 6:00,35000
1/2/16 7:00,36231
1/2/16 8:00,37550
1/2/16 9:00,38737
1/2/16 10:00,40100
1/2/16 11:00,40748
1/2/16 12:00,40585
1/2/16 13:00,40012
1/2/16 14:00,39029
1/2/16 15:00,38203
1/2/16 16:00,37907
1/2/16 17:00,38227
1/2/16 18:00,39991
1/2/16 19:00,41313
1/2/16 20:00,41048
1/2/16 21:00,40554
1/2/16 22:00,39649
1/2/16 23:00,38210
1/3/16 0:00,36498
1/3/16 1:00,35131
1/3/16 2:00,34283
1/3/16 3:00,33919
1/3/16 4:00,33941
1/3/16 5:00,34360
1/3/16 6:00,35294
1/3/16 7:00,36670
1/3/16 8:00,37968
1/3/16 9:00,38528
1/3/16 10:00,38090
1/3/16 11:00,36873
1/3/16 12:00,35464
1/3/16 13:00,34246
1/3/16 14:00,33151
1/3/16 15:00,32305
1/3/16 16:00,31892
1/3/16 17:00,32102
1/3/16 18:00,34080
1/3/16 19:00,37094
1/3/16 20:00,37886
1/3/16 21:00,37972
1/3/16 22:00,37590
1/3/16 23:00,36291
1/4/16 0:00,34751
1/4/16 1:00,33866
1/4/16 2:00,33691
1/4/16 3:00,34024
1/4/16 4:00,34856
1/4/16 5:00,36585
1/4/16 6:00,39885
1/4/16 7:00,44041
1/4/16 8:00,45745
1/4/16 9:00,44684
1/4/16 10:00,42955
1/4/16 11:00,41158
1/4/16 12:00,39332
1/4/16 13:00,37696
1/4/16 14:00,36507
1/4/16 15:00,35494
1/4/16 16:00,34860
1/4/16 17:00,34903
1/4/16 18:00,37079
1/4/16 19:00,40448
1/4/16 20:00,41184
1/4/16 21:00,41416
1/4/16 22:00,40590
1/4/16 23:00,38573
1/5/16 0:00,36614
1/5/16 1:00,35512
1/5/16 2:00,35239
1/5/16 3:00,35381
1/5/16 4:00,36006
1/5/16 5:00,37668
1/5/16 6:00,41010
1/5/16 7:00,45587
1/5/16 8:00,46959
1/5/16 9:00,45764
1/5/16 10:00,44536
1/5/16 11:00,43122
1/5/16 12:00,41452
1/5/16 13:00,39850
1/5/16 14:00,38728
1/5/16 15:00,37648
1/5/16 16:00,37131
1/5/16 17:00,37860
1/5/16 18:00,40325
1/5/16 19:00,42822
1/5/16 20:00,42885
1/5/16 21:00,42421
1/5/16 22:00,40905
1/5/16 23:00,38357
1/6/16 0:00,35836
1/6/16 1:00,34260
1/6/16 2:00,33423
1/6/16 3:00,33061
1/6/16 4:00,33072
1/6/16 5:00,34031
1/6/16 6:00,36651
1/6/16 7:00,40632
1/6/16 8:00,41841
1/6/16 9:00,40994
1/6/16 10:00,40807
1/6/16 11:00,40676
1/6/16 12:00,40293
1/6/16 13:00,39669
1/6/16 14:00,39150
1/6/16 15:00,38571
1/6/16 16:00,38394
1/6/16 17:00,38911
1/6/16 18:00,40579
1/6/16 19:00,41766
1/6/16 20:00,41309
1/6/16 21:00,40424
1/6/16 22:00,38623
1/6/16 23:00,35931
1/7/16 0:00,33209
1/7/16 1:00,31374
1/7/16 2:00,30416
1/7/16 3:00,29976
1/7/16 4:00,29976
1/7/16 5:00,30755
1/7/16 6:00,33092
1/7/16 7:00,36863
1/7/16 8:00,38098
1/7/16 9:00,37323
1/7/16 10:00,37058
1/7/16 11:00,36678
1/7/16 12:00,35908
1/7/16 13:00,35124
1/7/16 14:00,34700
1/7/16 15:00,34285
1/7/16 16:00,33982
1/7/16 17:00,33957
1/7/16 18:00,34785
1/7/16 19:00,36983
1/7/16 20:00,36986
1/7/16 21:00,36606
1/7/16 22:00,35364
1/7/16 23:00,33209
1/8/16 0:00,31071
1/8/16 1:00,29654
1/8/16 2:00,29082
1/8/16 3:00,28975
1/8/16 4:00,29211
1/8/16 5:00,30286
1/8/16 6:00,32963
1/8/16 7:00,37068
1/8/16 8:00,38737
1/8/16 9:00,37999
1/8/16 10:00,37600
1/8/16 11:00,37005
1/8/16 12:00,36443
1/8/16 13:00,35872
1/8/16 14:00,35376
1/8/16 15:00,34717
1/8/16 16:00,34296
1/8/16 17:00,34405
1/8/16 18:00,35522
1/8/16 19:00,36934
1/8/16 20:00,36596
1/8/16 21:00,36183
1/8/16 22:00,35495
1/8/16 23:00,34157
1/9/16 0:00,32498
1/9/16 1:00,31064
1/9/16 2:00,30186
1/9/16 3:00,29767
1/9/16 4:00,29883
1/9/16 5:00,30381
1/9/16 6:00,31641
1/9/16 7:00,33545
1/9/16 8:00,35588
1/9/16 9:00,37332
1/9/16 10:00,38667
1/9/16 11:00,39161
1/9/16 12:00,39210
1/9/16 13:00,38932
1/9/16 14:00,38505
1/9/16 15:00,38125
1/9/16 16:00,38138
1/9/16 17:00,38725
1/9/16 18:00,40578
1/9/16 19:00,42786
1/9/16 20:00,43019
1/9/16 21:00,42872
1/9/16 22:00,42382
1/9/16 23:00,41285
1/10/16 0:00,40137
1/10/16 1:00,39098
1/10/16 2:00,38603
1/10/16 3:00,38526
1/10/16 4:00,38845
1/10/16 5:00,39576
1/10/16 6:00,40934
1/10/16 7:00,42703
1/10/16 8:00,44318
1/10/16 9:00,45056
1/10/16 10:00,44491
1/10/16 11:00,42932
1/10/16 12:00,41126
1/10/16 13:00,39434
1/10/16 14:00,37847
1/10/16 15:00,36579
1/10/16 16:00,35990
1/10/16 17:00,36465
1/10/16 18:00,39250
1/10/16 19:00,42838
1/10/16 20:00,43924
1/10/16 21:00,44150
1/10/16 22:00,43405
1/10/16 23:00,41500
1/11/16 0:00,39537
1/11/16 1:00,38440
1/11/16 2:00,38087
1/11/16 3:00,38238
1/11/16 4:00,38829
1/11/16 5:00,40177
1/11/16 6:00,43335
1/11/16 7:00,47950
1/11/16 8:00,49252
1/11/16 9:00,47682
1/11/16 10:00,46151
1/11/16 11:00,44611
1/11/16 12:00,43080
1/11/16 13:00,41422
1/11/16 14:00,39864
1/11/16 15:00,38490
1/11/16 16:00,37616
1/11/16 17:00,37896
1/11/16 18:00,39985
1/11/16 19:00,43381
1/11/16 20:00,44003
1/11/16 21:00,43838
1/11/16 22:00,42716
1/11/16 23:00,40445
1/12/16 0:00,38541
1/12/16 1:00,37287
1/12/16 2:00,36984
1/12/16 3:00,37169
1/12/16 4:00,37714
1/12/16 5:00,39120
1/12/16 6:00,42327
1/12/16 7:00,46920
1/12/16 8:00,48075
1/12/16 9:00,45684
1/12/16 10:00,43013
1/12/16 11:00,40714
1/12/16 12:00,38607
1/12/16 13:00,36835
1/12/16 14:00,35684
1/12/16 15:00,34754
1/12/16 16:00,34224
1/12/16 17:00,34212
1/12/16 18:00,35506
1/12/16 19:00,38446
1/12/16 20:00,39025
1/12/16 21:00,39151
1/12/16 22:00,38336
1/12/16 23:00,36495
1/13/16 0:00,34614
1/13/16 1:00,33666
1/13/16 2:00,33477
1/13/16 3:00,33603
1/13/16 4:00,34300
1/13/16 5:00,35880
1/13/16 6:00,39197
1/13/16 7:00,43876
1/13/16 8:00,45260
1/13/16 9:00,43173
1/13/16 10:00,40883
1/13/16 11:00,38944
1/13/16 12:00,37288
1/13/16 13:00,35793
1/13/16 14:00,34909
1/13/16 15:00,34237
1/13/16 16:00,33748
1/13/16 17:00,33944
1/13/16 18:00,35139
1/13/16 19:00,37644
1/13/16 20:00,37915
1/13/16 21:00,37871
1/13/16 22:00,36856
1/13/16 23:00,34828
1/14/16 0:00,32743
1/14/16 1:00,31522
1/14/16 2:00,30913
1/14/16 3:00,30867
1/14/16 4:00,31127
1/14/16 5:00,32180
1/14/16 6:00,34969
1/14/16 7:00,39129
1/14/16 8:00,40360
1/14/16 9:00,39079
1/14/16 10:00,38039
1/14/16 11:00,37147
1/14/16 12:00,36276
1/14/16 13:00,35497
1/14/16 14:00,35054
1/14/16 15:00,34454
1/14/16 16:00,34085
1/14/16 17:00,34017
1/14/16 18:00,34871
1/14/16 19:00,37097
1/14/16 20:00,37237
1/14/16 21:00,36653
1/14/16 22:00,35249
1/14/16 23:00,33085
1/15/16 0:00,30729
1/15/16 1:00,29233
1/15/16 2:00,28619
1/15/16 3:00,28368
1/15/16 4:00,28698
1/15/16 5:00,29735
1/15/16 6:00,32462
1/15/16 7:00,36880
1/15/16 8:00,38643
1/15/16 9:00,37932
1/15/16 10:00,37244
1/15/16 11:00,36556
1/15/16 12:00,35710
1/15/16 13:00,34859
1/15/16 14:00,34410
1/15/16 15:00,34011
1/15/16 16:00,33719
1/15/16 17:00,33613
1/15/16 18:00,33990
1/15/16 19:00,35682
1/15/16 20:00,35607
1/15/16 21:00,35219
1/15/16 22:00,34538
1/15/16 23:00,33475
1/16/16 0:00,32097
1/16/16 1:00,31001
1/16/16 2:00,30427
1/16/16 3:00,30232
1/16/16 4:00,30430
1/16/16 5:00,30959
1/16/16 6:00,32152
1/16/16 7:00,33823
1/16/16 8:00,35512
1/16/16 9:00,37124
1/16/16 10:00,38359
1/16/16 11:00,38664
1/16/16 12:00,38385
1/16/16 13:00,37707
1/16/16 14:00,37121
1/16/16 15:00,36834
1/16/16 16:00,36924
1/16/16 17:00,37068
1/16/16 18:00,38078
1/16/16 19:00,40349
1/16/16 20:00,40643
1/16/16 21:00,40517
1/16/16 22:00,40009
1/16/16 23:00,38949
1/17/16 0:00,37718
1/17/16 1:00,36733
1/17/16 2:00,36331
1/17/16 3:00,36280
1/17/16 4:00,36601
1/17/16 5:00,37297
1/17/16 6:00,38552
1/17/16 7:00,40384
1/17/16 8:00,42143
1/17/16 9:00,42696
1/17/16 10:00,41568
1/17/16 11:00,39480
1/17/16 12:00,37334
1/17/16 13:00,35538
1/17/16 14:00,34006
1/17/16 15:00,32909
1/17/16 16:00,32394
1/17/16 17:00,32662
1/17/16 18:00,34352
1/17/16 19:00,37400
1/17/16 20:00,38344
1/17/16 21:00,38465
1/17/16 22:00,38311
1/17/16 23:00,37274
1/18/16 0:00,36111
1/18/16 1:00,35590
1/18/16 2:00,35543
1/18/16 3:00,35959
1/18/16 4:00,36871
1/18/16 5:00,38475
1/18/16 6:00,41253
1/18/16 7:00,44698
1/18/16 8:00,46456
1/18/16 9:00,46147
1/18/16 10:00,44944
1/18/16 11:00,43275
1/18/16 12:00,41459
1/18/16 13:00,39543
1/18/16 14:00,37990
1/18/16 15:00,36672
1/18/16 16:00,35841
1/18/16 17:00,35765
1/18/16 18:00,37210
1/18/16 19:00,40418
1/18/16 20:00,41227
1/18/16 21:00,41218
1/18/16 22:00,40328
1/18/16 23:00,38360
1/19/16 0:00,36195
1/19/16 1:00,34800
1/19/16 2:00,34318
1/19/16 3:00,34280
1/19/16 4:00,34765
1/19/16 5:00,35939
1/19/16 6:00,38904
1/19/16 7:00,43053
1/19/16 8:00,43817
1/19/16 9:00,42000
1/19/16 10:00,40599
1/19/16 11:00,39107
1/19/16 12:00,37724
1/19/16 13:00,36630
1/19/16 14:00,35718
1/19/16 15:00,34953
1/19/16 16:00,34507
1/19/16 17:00,34334
1/19/16 18:00,35158
1/19/16 19:00,37522
1/19/16 20:00,37817
1/19/16 21:00,37571
1/19/16 22:00,36539
1/19/16 23:00,34531
1/20/16 0:00,32575
1/20/16 1:00,31520
1/20/16 2:00,31180
1/20/16 3:00,31392
1/20/16 4:00,31922
1/20/16 5:00,33293
1/20/16 6:00,36234
1/20/16 7:00,40799
1/20/16 8:00,42092
1/20/16 9:00,41171
1/20/16 10:00,40818
1/20/16 11:00,40025
1/20/16 12:00,39010
1/20/16 13:00,37848
1/20/16 14:00,36954
1/20/16 15:00,36352
1/20/16 16:00,36125
1/20/16 17:00,36663
1/20/16 18:00,38092
1/20/16 19:00,40315
1/20/16 20:00,40295
1/20/16 21:00,39583
1/20/16 22:00,37888
1/20/16 23:00,35177
1/21/16 0:00,32497
1/21/16 1:00,30948
1/21/16 2:00,30072
1/21/16 3:00,29563
1/21/16 4:00,29565
1/21/16 5:00,30232
1/21/16 6:00,32630
1/21/16 7:00,36815
1/21/16 8:00,38264
1/21/16 9:00,37790
