SOLAR-7,SOLAR-13,SOLAR-11,SOLAR-2,SOLAR-5,SOLAR-15,SOLAR-12,SOLAR-6,SOLAR-1,SOLAR-9,SOLAR-8,SOLAR-16,SOLAR-17,SOLAR-14,SOLAR-10,SOLAR-3,SOLAR-4,SOLAR-18,time_CST
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-01T00:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-01T01:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-01T02:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-01T03:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-01T04:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-01T05:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-01T06:00:00Z
0,0,0,0,0.0011350737797956867,0,0.0011350737797956867,0.0011350737797956867,0.0011350737797956867,0,0.0011350737797956867,0,0.0011350737797956867,0,0.0011350737797956867,0.0011350737797956867,0,0,2016-01-01T07:00:00Z
0.04777777777777777,0.033707865168539325,0.033707865168539325,0.02356902356902357,0.043132803632236094,0.04777777777777777,0.043132803632236094,0.043132803632236094,0.043132803632236094,0.04777777777777777,0.043132803632236094,0.03777777777777778,0.043132803632236094,0.3422222222222222,0.043132803632236094,0.043132803632236094,0.02356902356902357,0.09777777777777777,2016-01-01T08:00:00Z
0.15,0.10112359550561797,0.10112359550561797,0.07519640852974187,0.09194097616345062,0.15,0.09194097616345062,0.09194097616345062,0.09194097616345062,0.15,0.09194097616345062,0.11555555555555555,0.09194097616345062,0.7655555555555554,0.09194097616345062,0.09194097616345062,0.07519640852974187,0.4288888888888889,2016-01-01T09:00:00Z
0.30444444444444446,0.11573033707865167,0.11573033707865167,0.16049382716049382,0.19977298524404086,0.30444444444444446,0.19977298524404086,0.19977298524404086,0.19977298524404086,0.30444444444444446,0.19977298524404086,0.25555555555555554,0.19977298524404086,0.888888888888889,0.19977298524404086,0.19977298524404086,0.16049382716049382,0.6322222222222221,2016-01-01T10:00:00Z
